v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14
2.921214148,2.821586108,2.84983697,2.684956938,3.064718528,3.133970641,1.668800928,2.365697195,2.441949522,1.849306436,2.95271511,3.112844996,1.609799127,2.494576128,2.660831202
2.975090793,2.827586291,2.916964019,2.717207923,3.027717399,3.137345744,1.775554186,2.109064364,2.239318339,2.345571581,3.004341685,3.112594989,1.092408338,1.646425245,2.416198737
3.048343028,2.96321543,3.054593219,2.947464949,3.017217078,3.149721122,2.00343614,2.232693136,2.354446852,2.748458876,2.916964019,3.083344096,0.887777093,1.705802057,2.328196051
2.927464339,2.856337168,2.967965575,2.708332652,2.887463118,3.153721244,2.29244496,2.483950804,2.517826838,2.773459639,2.931839473,3.042592853,0.909902768,1.776804224,2.320570818
2.84558684,2.856212165,3.013091952,2.891838252,2.976590838,3.161221473,2.298945158,2.524702048,2.671206519,2.442324534,2.567828364,2.547577746,0.782898892,1.473669973,2.343821528
2.774084658,2.822461135,2.946464919,2.731583361,2.993466353,3.152346202,2.349196692,2.592954131,2.662706259,2.839711661,2.578328684,2.868712546,0.821025056,1.609799127,2.341321451
2.833961486,2.800085452,2.944714866,2.771709586,3.005591723,3.152721213,2.245693533,2.579203711,2.620829981,2.766584429,2.814460891,3.069968688,1.995185888,2.425699026,2.776459731
3.029092441,2.891713248,3.037342692,2.900463515,2.975215796,3.152096194,0.972654683,0.963529405,2.200567156,1.562422681,2.948214972,3.101969665,2.72333311,2.835961547,2.698957366
2.920589129,2.86621247,3.05659328,2.739833613,2.849586962,3.147096042,1.409293008,2.001436079,2.234943205,2.462575152,2.985841121,3.121720267,0.551891842,1.843306253,2.420448866
3.02971746,2.948589984,3.054843226,2.8245862,2.971215674,3.153471236,2.377822565,2.391947996,2.631830317,2.679831782,1.983310526,2.004061159,0.591518052,1.839556139,2.381947691
2.103814203,2.784584979,2.591204077,1.284914212,3.076218879,3.153721244,2.225692923,2.605329508,2.766959441,2.80921073,1.879307352,1.547922239,0.767773431,0.959654286,1.855931639
1.816805445,2.572203497,2.608579608,1.500795801,3.066843593,3.140220832,2.016686544,2.620204962,2.741583666,2.815210913,2.893213294,3.093344401,2.047937498,2.047937498,1.981935484
2.981465987,2.850461989,3.015467025,2.996591449,2.950965056,3.15784637,1.184536149,0.937903623,2.082938566,2.115314554,3.03071749,3.068593646,2.047937498,3.071968749,3.071968749
2.435449324,2.805210608,2.984091067,2.719332987,2.786835047,3.150221137,0.99515537,1.806680136,1.947934446,2.525702078,3.033092563,3.099594592,2.047937498,2.047937498,2.047937498
2.675581652,2.764834376,3.005216712,2.945214881,2.916589007,3.177971984,2.386322825,2.387447859,2.712957793,2.828586322,2.460825098,2.641705618,2.047937498,2.047937498,2.047937498
2.794960295,2.811335795,2.903088595,2.290569903,3.107594836,3.142970916,2.450949797,2.778834803,2.438449416,1.733052889,2.583953856,3.161721488,0.587767937,1.569297891,2.242443434
3.124970367,3.034717612,2.568828394,1.033531541,3.150721152,2.688207038,2.384572771,2.805335612,1.004280648,1.573923032,2.226192938,3.121095248,0.59701822,1.338290841,2.243443464
3.097969543,3.031967528,2.660456191,1.570922941,3.147096042,3.055218238,2.305445357,2.700957427,1.840806177,2.152065676,2.991091281,3.015842036,1.546672201,1.193036409,2.143440413
2.588954009,2.894213324,3.034842616,2.964090457,2.89308829,3.133720634,1.369291787,2.114439528,2.53132725,2.598579302,3.084344127,2.671081515,1.835556017,1.654925504,2.489950987
1.158535356,2.363697134,3.026092349,3.060968413,1.780679342,3.175471908,0.999905515,1.187786248,2.573828547,2.866087466,3.061343425,2.781834895,2.139565294,1.680801294,2.355821894
1.30678988,2.448074709,3.023342265,3.067218604,2.731833369,3.183972167,1.098158513,1.612424207,2.649705863,2.97959093,3.001341594,3.070218696,0.891902219,1.70917716,2.400073244
2.921214148,2.910088809,3.002341624,2.703207495,3.10246968,3.153721244,2.404323374,2.651205908,2.130940031,1.821055574,2.469200354,3.125970397,0.909902768,1.800554949,2.150940641
3.077718925,2.948089969,2.480325694,0.768773461,3.13197058,2.530577227,2.584453871,2.80396057,0.985280068,1.578923185,-0.001000031,2.983966063,0.958279244,1.754178533,2.358446974
3.09721952,2.820961089,2.69320719,0.772273568,3.159096408,2.974840785,2.516826807,2.853837092,2.136690207,2.123439802,2.669831477,2.998216498,0.784898953,1.726802698,2.386197821
2.802460524,2.925964293,2.950965056,2.914088931,3.048343028,3.128095462,1.145159948,2.304195318,2.595829218,2.688832057,3.101719657,2.97109067,2.341196448,1.579798212,2.423448958
1.358416456,2.728083254,3.039342753,3.05496823,2.257693899,3.156721335,1.042281808,1.611924192,2.624080081,2.84721189,3.104094729,2.813710868,0.977654836,1.37429194,2.456074953
1.783804437,2.627955199,3.101094638,3.087219214,2.746833827,3.175346904,1.653675466,2.002936125,2.528077151,2.746583819,2.972215705,2.741083651,0.538266427,1.458669515,2.393323038
2.434574297,2.708332652,3.018842128,2.949965026,3.049218055,3.165471603,2.345571581,2.496701193,2.739958617,3.043842891,-0.001125034,1.791804682,0.529641163,1.60104886,2.417198767
1.714052309,2.652455947,2.379322611,1.18391113,3.094969451,3.107844844,2.358196966,2.681331828,2.688207038,2.76595941,-0.000875027,1.703426984,0.902027528,1.430168645,2.463075167
2.790085147,2.708207648,2.266694174,0.767273415,3.139095798,2.85833723,2.508951567,2.896963408,1.83730607,1.451169286,1.956059694,1.873557176,1.093533372,1.560922636,1.958684774
3.028342418,2.919589099,2.403073336,0.841275674,3.145971007,2.599954344,2.536327403,2.891338237,0.854026063,1.59417365,2.812460829,3.126970428,2.280944609,1.779804315,2.231318094
3.075968871,2.960965361,2.838461623,1.201911679,3.062718467,2.687457015,2.291944945,2.401823298,0.709396649,1.60367394,2.998841517,3.159596423,2.995341411,1.763553819,2.374197455
3.06871865,2.95371514,3.037092685,2.370947356,3.135220679,3.059718375,1.793679739,2.101564135,1.598298776,2.066813074,3.031717521,3.125720389,1.994310862,1.588548479,2.178566485
3.061968444,2.992966338,3.076468886,2.778334788,3.119970214,3.091469344,2.198192083,2.459825068,2.313945616,2.329321085,2.804960601,2.992591327,0.948653951,1.482545244,2.030561968
2.999966552,2.934339549,2.614704794,0.75627308,3.143220923,3.009341838,2.496201178,2.830711386,2.434449293,2.223692862,1.645550218,1.498670736,0.288758812,0.966154485,1.527546617
1.107158788,1.289789361,1.870682089,0.823025117,1.893682791,2.451574816,0.903777581,1.420293344,1.773554125,1.849181433,1.652925443,1.383667226,0.467889279,0.819650014,1.319915281
1.302289743,1.745803278,2.501951353,0.89490231,3.03921775,3.08871926,2.123564806,2.421573901,2.665831355,2.894338328,2.472325449,3.03071749,-0.158129826,0.810899747,1.437293863
2.999216529,2.842836756,2.862337352,2.674581622,3.055718253,3.115720084,1.450419263,1.766428907,2.656581072,2.588954009,3.032717551,3.079593982,2.513451704,2.474075503,2.498201239
2.867087497,2.792710227,2.897088412,2.480325694,2.963840449,3.100969634,1.213537034,1.1665356,2.628205206,2.644330699,2.80558562,3.06021839,2.345321574,2.467950316,2.44907474
2.713582812,2.832961455,2.900713523,2.420073855,3.024467299,3.113595019,1.133159581,1.578673177,2.518701865,2.804210578,2.900463515,3.032217536,2.514576739,1.465544725,1.989935728
2.793835261,2.827586291,2.975465804,2.884588031,3.043842891,3.132220588,2.071938231,2.195442,2.559953124,2.737083529,2.963590442,3.00646675,0.538641438,1.323540391,1.789929624
2.671956542,2.843836787,2.967840571,2.835711539,3.085719169,3.130595538,2.323070894,2.673956603,2.50182635,1.928808863,2.322070864,2.721083041,0.485889828,0.915277932,1.379917112
3.062093448,2.915588977,2.807835688,0.839150609,3.142220893,2.799085421,2.398698202,2.886963103,1.095658437,1.199411603,1.922558672,2.004061159,0.499640248,0.963904416,1.38641731
3.096719504,2.915588977,2.72433314,0.681395795,3.153721244,2.988466201,2.307070406,2.853587085,2.175941404,2.06143791,1.925308756,2.903338603,-0.074877285,1.271788812,1.503295877
3.004716697,2.92258919,2.987216163,2.830211371,3.052593158,3.123845332,2.00081106,2.58507889,2.643705679,2.420198859,3.056843287,3.013841975,0.638394482,1.275913938,1.41591821
