v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14
2.756834132,2.631080294,2.351196753,2.062937956,3.133720634,3.15522129,2.273569384,2.276944487,2.404823389,2.525827082,2.408948515,3.041717826,0.705396527,1.053657155,1.728552751
2.843211768,2.520701926,2.421073885,2.192941923,3.122095279,3.151471175,2.125939879,2.156190802,2.231568102,2.487825922,2.409073519,3.080719016,0.72877224,1.07578283,1.666175848
2.857087191,2.583203833,2.404323374,1.974685263,3.147471053,3.135595691,2.529327189,2.365447188,2.109439375,2.480575701,2.370822352,3.056843287,0.966029481,0.856526139,1.613799249
2.700457411,2.497326212,2.767959471,1.908933256,3.127595447,3.125345378,2.45169982,2.353571825,2.274819422,2.502076357,2.421698904,3.106469802,2.988216193,1.886682577,1.996310923
2.682831874,2.567953368,2.748833888,1.798679891,3.120970244,3.116720115,1.978060366,1.832555925,2.308695456,2.452074831,2.412073611,3.124220344,3.019717154,2.339446394,2.443324564
2.80658565,2.394948088,2.675081637,1.569672903,3.125345378,3.090844325,2.196567034,2.070188177,2.360322031,2.383947752,2.402198309,3.104594745,1.304914823,1.335040742,1.56467275
2.866712485,2.634330393,2.76858449,2.011561388,3.144970977,3.119595202,2.439699454,2.441574511,2.43007416,2.388322886,2.258568926,2.77020954,1.163285501,1.331290628,1.489920469
2.684581927,2.624955107,2.800335459,1.713802301,3.168971709,3.11034492,2.60670455,2.484950835,2.399073214,2.367322245,2.271444319,2.886963103,0.968154546,1.235912717,1.554422437
2.678581744,2.59457918,2.70170745,1.700301889,3.151596179,3.110219916,2.369697317,2.463575182,2.208942412,2.415448714,2.413448653,3.114095035,3.011216895,2.865587451,2.837461592
2.780084841,2.544327647,2.716707907,1.581673269,3.130470534,3.110594928,1.917433515,2.015061495,2.280819605,2.430699179,2.427324076,3.102969695,3.001716605,2.527952147,2.0414373
2.752458998,2.612454726,2.618079897,2.312820582,3.109469893,3.11196997,2.129064974,2.193566942,2.472700461,2.470450392,2.433199255,3.103969726,1.007780755,1.622924528,1.722677572
2.991966308,2.794585284,2.859962279,2.240193365,3.141220862,3.117845149,2.451199805,2.376197516,2.401323283,2.420948881,2.317820734,3.036592669,0.962779382,0.465764214,1.597798761
2.917214026,2.757459151,2.816335948,1.535546861,3.162346507,3.114345042,2.485575854,2.477325602,2.427949095,2.517951842,2.049562548,2.805210608,0.789774102,1.309914975,1.661300699
2.810210761,2.680706809,2.670456496,1.328790551,3.155096286,3.110594928,2.433199255,2.381822687,2.450574786,2.488450941,2.343071505,3.12409534,1.924558733,1.108908841,1.550672323
2.967090548,2.692707175,2.763709342,1.982185492,3.137720756,3.095969481,2.049687551,2.248568621,2.45694998,2.500576312,2.432074221,3.121720267,2.994216376,2.766209418,2.911713858
2.795460311,2.730208319,2.770959563,2.215317606,3.126470412,3.117095126,1.487795404,1.927558824,2.464450209,2.511701651,2.420823878,3.068593646,2.000186041,1.321165319,1.594798669
2.861212317,2.708082644,2.68795703,2.729208289,3.125220374,3.149471114,2.06831312,2.302195257,2.442074526,2.499576281,2.410198553,3.014967009,1.148535051,1.349541185,1.540547014
2.675581652,2.647455794,2.793835261,1.541047029,3.114970061,3.147596057,2.445449629,2.463950194,2.439699454,2.542327586,2.269444258,2.910213813,0.82215009,0.479139622,1.686676473
2.765209387,2.525327067,2.795460311,1.80255501,3.150096133,3.132095584,2.637205481,2.578328684,2.351696768,2.548827784,2.313570605,3.071093722,1.061157384,1.237037751,1.71017719
2.871087619,2.656206061,2.801960509,1.933559008,3.152471206,3.11884518,2.600829371,2.548202765,2.214817591,2.151065645,2.441699515,3.106344798,3.023592273,1.946559404,2.591829096
2.7000824,2.670331492,2.303070284,1.793179724,3.136845729,3.11884518,2.334821253,2.381447676,2.219442732,1.875682241,2.439074435,3.111594958,2.921339152,1.470544877,1.682926359
