v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14
2.479200659,2.529202185,2.72695822,2.562328196,3.084469131,3.096344493,2.542327586,2.323070894,2.319070772,2.521951964,2.283819697,2.943089816,1.13540965,2.565203284,2.794335276
2.335946287,2.486075869,0.121378704,2.537952452,3.085969176,3.112094974,2.545327677,2.303820307,2.202317209,2.555953001,2.307570421,3.019842158,1.101033601,2.717957945,2.840086673
2.685706961,2.500576312,2.706082583,2.666206366,3.080969024,3.126095401,2.55132786,2.409198523,2.329071078,2.564703269,2.29081991,3.008216803,0.605268471,2.714207831,2.833711478
2.746458815,2.491826044,2.814335887,2.596454237,3.076093875,3.12409534,2.590329051,2.194316965,2.323070894,2.546952727,2.274319407,2.990341258,0.587892941,2.522576983,2.727833247
2.648705832,2.494201117,2.759084201,2.48970098,3.064343516,3.121220252,2.524327036,2.344071535,2.357821955,2.550952849,2.260818995,2.987591174,0.586642903,2.174441359,2.625205115
2.502451369,2.498326243,0.47938963,2.514326731,3.083344096,3.122970305,2.591079073,2.420073855,2.456324961,2.556828028,2.231068087,2.932214484,0.58589288,2.128189947,2.435074313
2.260818995,2.432074221,0.461764092,2.398448195,3.073593799,3.111594958,2.524077029,2.383447737,2.451324808,2.54770275,2.230568072,2.912588885,0.586017884,1.848306406,2.322070864
2.552827906,2.473450484,0.45776397,2.399198218,3.07921897,3.10609479,2.445324625,2.426074038,2.446574664,2.545952696,2.255318827,3.002716636,0.586392895,1.836181036,2.773209632
2.35207178,2.444074587,0.487764885,2.463450179,3.068968657,3.118220161,2.42319895,2.225567919,2.393323038,2.547327738,2.254943815,2.999466536,0.587017914,2.102939177,2.806710654
2.488825953,2.414448683,2.798335398,2.360572039,3.066218574,3.111469955,2.41107358,2.345696585,2.418448805,2.547077731,2.267694205,3.003466659,0.587267922,2.503201392,2.825711234
2.704207526,2.397198157,2.82296115,2.53657741,3.066593585,3.110094913,2.407198462,2.348446669,2.401698294,2.537327433,2.258443922,2.812585833,0.607393536,2.444199591,2.867462508
2.609704642,2.379697623,2.741333659,2.396823145,3.059593371,3.12147026,2.457324992,2.327446028,2.349321696,2.504076418,2.229693045,2.885463057,0.606643513,1.882057436,2.601329386
2.471825434,2.256568865,2.808460707,2.55132786,3.048468032,3.118470168,2.441699515,2.335446272,2.357571947,2.522201971,2.273694388,3.026342357,0.595643178,2.421198889,2.691082125
2.741208655,2.464325205,2.817335978,1.972560198,3.074718833,3.110594928,2.435074313,2.450574786,2.331571154,2.473825495,2.267069185,2.988341197,0.586517899,1.639175024,2.696457289
2.267694205,2.307695425,2.825961241,2.533077303,3.036467666,3.147096042,2.441949522,2.319070772,2.425199011,2.571328471,2.268819239,2.932214484,0.587142918,1.57154796,2.432199225
2.108814356,2.43007416,2.82296115,2.709707694,3.054593219,3.148596088,2.484200812,2.357571947,2.411198584,2.544577654,2.273694388,2.90258858,0.585517869,0.504140385,2.225567919
